Proteins,p_value ,q-value L166P(1&2)/WT,FC
SLC41A1,2.14922,0.0445615,-1.64305
SLC41A3,1.10153,0.226982,0.745759
SLC43A2,1.80478,0.180089,0.806205
SLC44A1,1.63094,0.310598,-0.488924
SLC44A2,0.0295109,0.967668,0.0191067
SLC49A4,1.05671,0.077718,1.89218
SLC4A1AP,1.96908,0.334155,-0.439629
SLC4A2,3.49798,0.110065,0.976074
SLC4A7,4.89385,0.0140047,1.80981
SLC52A2,1.85579,0.117339,-1.10615
SLC6A20,1.878,0.0190428,-2.51282
SLC7A1,1.40425,0.0763739,-1.57602
SLC7A14,3.37391,0.0358368,-1.54285
SLC7A2,1.49886,0.0561981,-1.7709
SLC7A5,2.74029,0.0103491,2.46895
SLC7A6,0.687008,0.271334,-0.71336
SLC7A6OS,2.5748,0.0211324,2.00966
SLC8A1,2.49862,0.0189538,2.15462
SLC9A1,0.416066,0.542653,0.304295
SLC9A3R1,3.13803,0.0518031,1.35354
SLC9A3R2,1.55958,0.269783,0.571359
SLC9A6,1.16702,0.329923,0.482341
SLC9A7,3.96118,0.00403546,3.05409
SLC9A9,2.37449,0.041054,-1.6421
SLFN13,0.277198,0.605375,0.261648
SLFN5,2.10294,0.101448,-1.14091
SLIRP,3.08037,0.170776,0.755591
SLIT3,0.706558,0.684104,-0.165009
SLITRK5,3.20137,0.144908,-0.838584
SLITRK6,1.92399,0.078239,1.36903
SLK,2.40457,0.274708,-0.524156
SLMAP,0.394079,0.729383,-0.154373
SLTM,0.485622,0.613331,0.22195
SLU7,0.241859,0.84973,0.0799663
SLX4,1.45613,0.252278,0.619449
SMAD1,0.848503,0.327038,-0.524383
SMAD2,0.265396,0.724873,-0.161037
SMAD3,0.895295,0.374512,-0.436138
SMAD4,4.58699,0.00487379,-2.60792
SMAD5,1.37594,0.453955,-0.319696
SMAD9,2.25788,0.152721,0.868868
SMAP,1.54362,0.0951915,1.34492
SMAP1,0.870458,0.617905,-0.200941
SMAP2,2.23144,0.0244747,2.0534
SMARCA1,3.73084,0.147946,-0.807793
SMARCA2,0.476171,0.591784,-0.241034
SMARCA4,0.475064,0.6701,-0.181361
SMARCA5,3.57629,0.267165,-0.513988
SMARCAD1,0.455897,0.432052,-0.446606
SMARCAL1,1.47399,0.372166,-0.40432
SMARCB1,1.02878,0.535912,-0.258618
SMARCC1,2.00028,0.30332,-0.487924
SMARCC2,1.22444,0.304675,-0.526819
SMARCD1,3.45905,0.0218139,-1.78022
SMARCD2,0.0935056,0.927033,-0.0410647
SMARCD3,1.00083,0.214668,-0.815826
SMARCE1,0.935984,0.273771,0.633419
SMC1A,5.37344,0.0134696,-1.78534
SMC2,3.39869,0.0353146,-1.52851
SMC3,5.54034,0.00915094,-1.92161
SMC4,3.54672,0.00829333,-2.26104
SMC5,1.14167,0.334719,-0.480011
SMC6,0.093244,0.881432,0.0720563
SMCHD1,5.87123,0.0457997,-1.24815
SMCR8,2.55428,0.0686595,1.31479
SMDT1,2.25748,0.118618,1.031
SMG1,2.01203,0.366711,-0.396429
SMG5,0.0754956,0.914787,0.05067
SMG6,2.8107,0.201089,0.678768
SMG7,2.80517,0.144348,0.8659
SMG8,1.3075,0.511431,-0.269235
SMG9,1.51213,0.508047,0.26836
SMIM12,2.31846,0.0256311,1.98701
SMIM19,0.130908,0.888168,-0.0638804
SMIM20,1.08478,0.0411212,2.77385
SMIM4,0.840794,0.324823,0.537753
SMN1,0.565788,0.402399,0.45673
SMNDC1,2.72551,0.0524808,-1.43214
SMO,0.351639,0.35575,0.671807
SMPD1,2.35875,0.0770983,-1.29165
SMPD2,2.44439,0.113269,1.03589
SMPD4,2.35932,0.0211075,-2.10052
SMPDL3A,2.12464,0.033043,-1.88248
SMS,0.0451146,0.95886,0.0238184
SMTN,4.17394,0.00346226,3.23532
SMTNL2,2.86905,0.00504577,-3.04063
SMU1,3.88728,0.0386129,-1.44736
SMUG1,1.7769,0.0740107,-1.45046
SMURF2,2.1473,0.100752,1.1316
SMYD3,0.665501,0.270361,-0.741378
SMYD5,0.510192,0.244149,0.999138
SNAP23,0.454118,0.666305,-0.18489
SNAP29,2.72501,0.0713333,1.27036
SNAP47,2.98172,0.0502559,-1.40357
SNAP91,0.478033,0.450874,0.402215
SNAPC3,2.06363,0.0431202,1.72624
SNAPC4,3.32518,0.0314654,1.60597
SNAPC5,2.29326,0.0225395,2.12369
SNAPIN,1.88304,0.0246272,-2.27016
SNCA,3.94176,0.00913263,2.13927
SNCB,3.42037,0.0931313,1.06063
SNCG,6.14089,0,4.54329
SND1,1.39854,0.30946,0.511046
SNED1,3.69929,0.0245423,-1.66655
SNF8,0.462652,0.774192,0.117081
SNIP1,1.14641,0.214617,0.777989
SNRNP200,1.45438,0.116886,-1.18909
SNRNP27,0.112322,0.806555,-0.127157
SNRNP40,3.82799,0.0262953,-1.6318
SNRNP48,2.66874,0.048651,-1.47333
SNRNP70,1.66184,0.22253,-0.682452
SNRPA,1.78785,0.203615,-0.727058
SNRPA1,2.31718,0.192976,-0.725959
SNRPB,1.11184,0.314678,-0.516126
SNRPB2,2.14469,0.120922,-1.03959
SNRPC,2.71573,0.0922154,-1.12977
SNRPD1,1.18635,0.196357,-0.845182
SNRPD2,3.24175,0.0421423,-1.4573
SNRPD3,2.61128,0.0855266,-1.17167
SNRPE,1.01857,0.280364,0.60362
SNRPG,0.307652,0.612791,-0.243437
SNTA1,1.45239,0.734489,-0.129287
SNTB1,0.0817913,0.927142,-0.0416823
SNTB2,0.659887,0.604155,-0.217972
SNU13,1.61321,0.105041,1.23562
SNUPN,1.96177,0.158594,-0.878568
SNW1,0.218791,0.756839,0.144253
SNX1,1.48152,0.274104,-0.567778
SNX11,2.56583,0.0341524,1.71108
SNX12,2.73013,0.286237,0.497173
SNX13,2.47516,0.184176,0.743442
SNX14,3.22346,0.0228273,1.78611
SNX15,2.04004,0.238554,-0.615701
SNX16,0.0824171,0.921174,0.0451026
SNX17,0.168347,0.808596,-0.112915
SNX18,2.58664,0.15869,-0.828736
SNX19,0.424831,0.596116,0.24501
SNX2,1.93284,0.253451,0.584268
SNX21,2.59624,0.305868,-0.467416
SNX24,1.55324,0.060274,-1.72305
SNX27,4.67687,0.177433,-0.699461
SNX29,2.85079,0.198996,-0.682927
SNX3,2.71904,0.10724,1.04614
SNX30,1.5034,0.265926,-0.58481
SNX33,3.81765,0.150665,-0.799577
SNX4,2.53406,0.404192,0.344973
SNX5,3.54692,0.0667598,-1.2213
SNX6,2.52981,0.183632,0.740006
SNX7,0.697634,0.489564,-0.313402
SNX8,0.347235,0.646191,0.216285
SNX9,1.36713,0.108232,-1.28797
SOAT1,0.429555,0.599279,-0.23976
SOD1,0.629414,0.208085,1.05719
SOD2,0.339126,0.410039,-0.531188
SOGA1,0.486288,0.650788,-0.192436
SOGA3,2.35108,0,11.4671
SON,1.31518,0.348966,-0.443184
SORBS2,1.09457,0.142599,1.16922
SORBS3,1.90707,0.345129,-0.425722
SORD,1.326,0.213575,-0.750419
SORT1,0.282486,0.54716,0.326617
SOS1,1.54395,0.190291,-0.805013
SOS2,1.64279,0.17103,0.86875
SOWAHC,3.26637,0.0179313,1.93282
SOX11,1.13768,0.2021,0.832628
SP1,0.616653,0.611017,-0.213995
SP100,1.58327,0.128657,-1.07836
SP110,1.22527,0.202988,0.808898
SP140L,0.0594114,0.789873,-0.234516
SPAG7,0.73428,0.433797,-0.373476
SPAG9,0.904014,0.853047,-0.0728143
SPARC,2.03126,9.37E-02,1.21321
SPART,0.60385,0.757946,0.123432
SPAST,1.07583,0.609619,-0.203636
SPATA18,2.62604,0.016965,2.13259
SPATA2,2.52908,0.108144,1.05766
SPATA20,0.901764,0.45883,0.332783
SPATA2L,3.1625,0.016702,1.9918
SPATA33,1.75346,0.0266244,2.32911
SPATA5,1.54692,0.54022,-0.247827
SPATA5L1,2.25368,0.224007,0.64053
SPATS2,1.55645,0.580478,0.21755
SPATS2L,0.31299,0.674015,0.192148
SPC24,3.90203,0.0459925,-1.35153
SPC25,4.81731,0.0534415,-1.22849
SPCS2,0.681775,0.821688,0.0885055
SPCS3,0.089497,0.840848,0.107003
SPDL1,0.573693,0.571121,0.249392
SPECC1,3.82366,0.00499624,2.61476
SPECC1L,0.393993,0.651652,0.203006
SPEG,3.10138,0.0211648,1.84149
SPEN,0.902603,0.436283,0.357019
SPG11,1.09758,0.303863,-0.540327
SPG21,2.28644,0.27877,-0.520432
SPG7,0.309377,0.69103,-0.180183
SPHK1,3.55726,0.00491506,-2.72225
SPHK2,2.10012,0.182741,0.771077
SPICE1,0.528274,0.636001,-0.205665
SPIN1,1.71486,0.216251,-0.696946
SPIN2A,1.05489,0.14384,1.18488
SPINDOC,0.642738,0.303052,0.635935
SPIRE1,2.73744,0.0908874,1.13865
SPNS1,0.424336,0.747714,0.134845
SPOUT1,0.40535,0.387977,-0.531506
SPPL2A,0.82176,0.115672,-1.70872
SPPL2B,0.597829,0.495479,0.317351
SPR,1.56553,0.185028,0.819513
SPRED1,0.0163461,0.982232,0.0104639
SPRED2,0.503471,0.630981,0.20555
SPRY2,3.36873,0.0231305,1.7362
SPRY4,2.43648,0.0231379,1.99824
SPRYD3,0.64982,0.176178,1.30809
SPRYD4,1.60807,0.113798,-1.18451
SPRYD7,0.771158,0.381286,-0.43905
SPTAN1,0.0730078,0.905451,0.0613585
SPTBN1,1.97988,0.0345334,1.9232
SPTBN2,3.93843,0.0679017,1.1782
SPTBN4,0.576845,0.659809,-0.182786
SPTLC1,1.29796,0.237849,-0.679053
SPTLC2,0.262254,0.71001,-0.181879
SPTLC3,2.04338,0.144376,-0.931897
SPTY2D1,2.58816,0.0446445,1.55814
SQLE,0.944465,0.30846,-0.549136
SQOR,3.36204,0.0552686,1.32837
SQSTM1,0.886608,0.383005,0.424669
SRA1,3.34919,0.167235,0.760198
SRBD1,4.10512,0.0626063,-1.20074
SRC,1.67588,0.204421,-0.73844
SRCAP,6.3201,0.242583,-0.533342
SREK1,3.7445,0.00325,-3.52867
SRFBP1,1.2835,0.301586,-0.527602
SRGAP1,3.31306,0.230466,-0.591435
SRGAP2,4.69886,0.0245496,-1.56027
SRI,1.54345,0.299651,-0.514307
SRM,1.16464,0.287053,-0.568978
SRP14,0.911553,0.313712,-0.540908
SRP19,0.0749454,0.932823,-0.0386409
SRP54,2.76283,0.134467,-0.906674
SRP68,3.19254,0.238351,-0.576334
SRP72,2.58689,0.0339899,-1.70093
SRP9,3.39953,0.23045,-0.58972
SRPK1,2.05309,0.0241185,-2.13192
SRPK2,0.712042,0.370773,-0.473345
SRPRA,2.37801,0.15229,-0.864022
SRPRB,0.418463,0.448809,0.421795
SRR,2.17061,0.222292,-0.647277
SRRD,0.288394,0.607408,-0.255422
SRRM1,2.25344,0.0728552,-1.3294
SRRM2,1.19647,0.293739,0.550736
SRRT,0.739567,0.43009,-0.376162
SRSF1,0.649693,0.26678,-0.765284
SRSF10,0.992025,0.291797,0.580619
SRSF11,4.43108,0.0048419,-2.5105
SRSF12,0.34147,0.472855,0.420427
SRSF2,0.0272241,0.960343,-0.0258369
SRSF3,0.216898,0.639082,-0.25604
SRSF4,1.17416,0.272223,-0.60139
SRSF5,0.227705,0.730752,0.162762
SRSF6,0.523633,0.432841,0.40428
SRSF7,1.61107,0.39898,0.36743
SRSF8,4.60377,0.0211748,-1.64452
SRSF9,1.08339,0.32219,0.502907
SRXN1,0.109763,0.835309,-0.104663
SRY,1.17524,0.119126,1.30058
SSB,3.22124,0.0362414,-1.54425
SSBP1,1.35585,0.126784,1.15975
SSBP3,2.30374,0.0308912,-1.85132
SSBP4,0.0847477,0.856275,0.0948501
SSH1,4.75108,0.0110922,1.9159
SSH2,4.5462,0.0207228,1.66116
SSH3,0.225482,0.880147,0.063101
SSNA1,1.90794,0.0989186,1.20422
SSR1,2.14142,0.0642645,-1.43181
SSR2,2.40108,0.00447712,4.38606
SSR3,2.34199,0.0103785,2.68316
SSR4,2.32925,0.11851,-1.02398
SSRP1,3.70132,0.00418182,-3.17991
SSTR2,1.14037,0.312344,-0.517464
SSU72,2.03739,0.360539,-0.402278
ST13,0.932068,0.446394,-0.342344
ST3GAL1,2.67041,0.0862294,-1.16554
ST3GAL2,0.517695,0.74007,-0.135587
ST7,2.94979,0.0667796,1.26562
STAC,4.16943,0.00426286,2.80574
STAG1,3.59192,0.0938733,-1.04227
STAG2,1.64908,0.106289,-1.19932
STAM,0.932154,0.523368,-0.271367
STAM2,0.352221,0.689547,0.177862
STAMBP,3.54605,0.0624425,1.25366
STAMBPL1,3.14869,0.0304443,1.6452
STARD10,2.79967,0.126522,0.940225
STARD13,2.12609,0.105024,1.12682
STARD3NL,2.9785,0.148555,0.843564
STARD7,1.86782,0.249013,0.598447
STARD9,0.0866919,0.940888,0.0329095
STAT1,1.36394,0.174358,-0.905804
STAT2,3.09632,0.0869586,-1.12077
STAT3,1.23914,0.432528,0.342923
STAT5B,1.48995,0.488367,-0.286461
STAT6,3.08334,0.0075644,-2.50472
STAU1,1.7714,0.312404,0.47995
STAU2,2.58113,0.168854,0.792723
STBD1,2.66887,0.00501455,3.23353
STC2,5.51991,0,7.76409
STEAP3,1.53432,0.0473978,-1.92822
STIM1,1.39739,0.335482,0.467485
STIM2,0.653087,0.447422,0.372145
STING1,0.956771,0.335939,-0.502599
STIP1,1.69131,0.221461,-0.683477
STK10,1.21928,0.227055,-0.721255
STK11,0.710573,0.380996,-0.459894
STK11IP,0.404775,0.467154,0.393833
STK17A,3.85356,0.00469792,2.85172
STK17B,2.54585,0.0205947,-2.06799
STK19,0.172256,0.774401,0.137564
STK24,1.83143,0.096572,-1.23729
STK25,0.545444,0.476929,-0.344634
STK26,3.18202,0.0208048,1.86085
STK3,3.27137,0.233808,-0.583375
STK32C,2.63134,0.00701039,2.84764
STK35,4.73066,0.048,-1.27654
STK38,2.52601,0.156832,0.838526
STK38L,5.84357,0.00709487,1.99971
STK39,0.894817,0.215348,-0.84766
STK4,3.04357,0.0248127,1.79409
STMN1,0.842355,0.209595,0.895589
STMN2,0.639673,0.330046,0.562027
STN1,1.12341,0.204483,-0.825424
STOM,1.30516,0.220629,0.728881
STOML1,1.94433,0.228251,0.645258
STOML2,2.17355,0.0635607,1.4382
STON1,3.89559,0.0482812,-1.32222
STRA6,3.35708,0.0102387,-2.20911
STRADA,1.17561,0.246838,-0.6676
STRADB,3.01541,0.122101,0.950643
STRAP,1.11998,0.334781,-0.478197
STRIP1,2.0421,0.171271,0.821775
STRN,0.591145,0.674039,-0.172514
STRN3,1.89305,0.378285,0.386048
STRN4,2.58346,0.531553,0.241887
STS,2.02911,0.0777429,1.34367
STT3A,3.04036,0.0255061,-1.77901
STT3B,1.84907,0.0754735,-1.42497
STUB1,4.60928,0.0571138,1.21982
STX10,1.0623,0.567527,-0.232231
STX11,2.52405,0.0450602,1.54207
STX12,1.35395,0.133243,-1.12587
STX16,2.25427,0.0373601,1.75457
STX17,1.22125,0.402898,0.376826
STX18,0.269073,0.767724,-0.129301
STX1A,1.92883,0.134055,0.993695
STX1B,0.060559,0.969612,-0.0160418
STX2,1.23423,0.249328,0.653596
STX3,0.58614,0.349311,0.542012
STX4,0.00118047,0.997001,0.00179951
STX5,0.874372,0.171265,-1.1049
STX6,3.12464,0.130001,0.901778
STX7,0.737961,0.302421,0.608171
STX8,2.70616,0.0552587,1.41926
STXBP1,2.24223,0.318174,0.455067
STXBP2,4.98007,0.00503285,2.34333
STXBP3,1.31076,0.529791,-0.254818
STXBP4,1.56136,0.526561,0.253747
STXBP5,0.214061,0.828968,0.0933483
STXBP6,2.72704,0.0485009,-1.45561
STYX,0.817482,0.196759,-0.986574
SUB1,1.05141,0.350341,0.460352
SUCLA2,1.23237,0.242936,-0.670959
SUCLG1,1.34833,0.342792,-0.451985
SUCLG2,0.255132,0.865772,-0.0703748
SUCO,3.67766,0.0123368,2.04974
SUDS3,5.57864,0.0483004,-1.2364
SUFU,1.81606,0.41847,0.341306
SUGCT,2.08011,0.016155,-2.5073
SUGP1,3.91637,0.146551,-0.812486
SUGP2,0.754832,0.673985,-0.168342
SUGT1,0.137566,0.879891,0.0720668
SULT1A1,1.51965,0.0279146,-2.52125
SULT1C4,0.744968,0.471778,0.328177
SUMF2,0.871904,0.35489,0.473523
SUMO1,0.532111,0.582817,0.242345
SUMO2,2.41172,0.0113155,-2.54838
SUMO3,1.9753,0.0214945,-2.3269
SUN1,1.79455,0.159364,-0.893925
SUN2,1.42211,0.289799,-0.541003
SUOX,0.894349,0.535737,-0.261636
SUPT16H,3.59562,0.00506143,-2.65316
SUPT20H,3.16004,0.196565,-0.681324
SUPT3H,1.16215,0.0760838,-1.79226
SUPT4H1,2.46511,0.294613,-0.488657
SUPT5H,0.626415,0.766588,-0.118477
SUPT6H,0.488942,0.727393,-0.144522
SUPT7L,1.35509,0.142006,1.0729
SUPV3L1,0.20447,0.721072,-0.174513
SURF1,4.47825,0.0963947,0.99414
SURF2,2.83583,0.0758473,-1.22223
SURF4,1.2409,0.207247,-0.786526
SURF6,1.28887,0.140029,1.10772
SUZ12,1.65639,0.075827,1.48309
SV2A,0.262946,0.661262,0.211453
SVBP,1.04937,0.308978,-0.534749
SVEP1,0.284838,0.775063,0.123035
SVIL,1.21168,0.253683,0.643243
SVIP,1.21329,0.313696,0.508124
SWAP70,0.354259,0.698584,-0.179876
SYAP1,0.155869,0.8503,-0.0848302
SYDE1,0.294291,0.8064,0.102821
SYDE2,3.76961,0.015245,1.90473
SYF2,0.898024,0.339066,0.498012
SYMPK,1.42965,0.171057,-0.897453
SYNC,3.10486,0.0417619,1.4864
SYNCRIP,1.789,0.175516,0.83271
SYNE1,1.47889,0.257898,0.606465
SYNE2,4.45624,0.0140939,-1.84545
SYNE3,6.10821,0.00489615,-2.22618
SYNGR1,1.94452,0.0500458,-1.65217
SYNGR2,2.2398,0.0290871,1.88123
SYNGR3,0.595076,0.436111,0.389759
SYNJ1,1.68655,0.278712,0.545061
SYNJ2,1.48691,0.299337,-0.520353
SYNJ2BP,1.40433,0.333833,-0.46263
SYNM,0.0838727,0.908734,-0.0537595
SYNPO,3.87086,0.0102838,2.08831
SYNPO2,0.0694648,0.913784,0.0525428
SYNRG,2.04698,0.211177,-0.685784
SYPL1,2.16445,0.00702156,-3.30871
SYT1,0.00367885,0.994899,-0.0028143
SYT11,2.94962,0.00750852,2.5513
SYTL1,0.780872,0.442042,-0.360472
SYTL4,3.36234,0.0379411,-1.51534
SYVN1,2.16065,0.0878315,-1.22824
SZRD1,2.30951,0.0377126,1.72315
SZT2,1.51705,0.180266,0.842567
TAB1,2.39358,0.229536,-0.620016
TAB2,0.31665,0.743292,-0.146771
TAB3,1.6727,0.163508,0.894991
TACC1,0.528362,0.831905,-0.0838155
TACC2,2.58323,0.227141,-0.617554
TACC3,1.84271,0.168825,0.85399
TACO1,2.47337,0.0453677,-1.5557
TADA2B,0.224175,0.764918,-0.136582
TADA3,1.94046,0.0945191,1.22417
TAF1,2.46015,0.146309,-0.882579
TAF10,0.557936,0.442446,-0.393645
TAF11,2.98688,0.090989,-1.09999
TAF12,1.59653,0.190287,0.797277
TAF13,2.37968,0.0767276,1.28669
TAF15,1.94435,0.313258,-0.471907
TAF1B,0.584427,0.320806,-0.623328
TAF1C,1.90155,0.34711,0.423796
TAF2,1.36304,0.200091,-0.792791
TAF4,0.0856016,0.900015,0.0595501
TAF5,2.76679,0.247845,-0.566837
TAF5L,2.94605,0.0122654,-2.24392
TAF6,3.27125,0.240878,-0.569311
TAF6L,1.99835,0.208904,-0.697414
TAF7,0.49314,0.66981,-0.180501
TAF8,1.17265,0.201837,0.825304
TAF9,1.69723,0.271584,0.558936
TAGLN,3.30227,0.0205408,1.86821
TAGLN2,6.623,0.0199522,1.55192
TAGLN3,3.4878,0.00915385,2.26401
TALDO1,1.16955,0.312916,0.521783
TAMM41,2.30383,0.0330117,-1.83192
TANC1,2.90772,0.140746,0.872356
TANC2,3.08851,0.0586681,1.3281
TANGO2,1.52379,0.184196,-0.829319
TANGO6,1.04222,0.159662,1.07921
TANK,1.28941,0.442583,0.330981
TAOK1,1.2009,0.183991,-0.89229
TAOK2,1.30839,0.265366,0.603899
TAOK3,1.60619,0.125478,-1.10744
TAP1,4.82461,0.00508156,2.3494
TAP2,0.282982,0.561685,0.30864
TAPBP,4.06989,0.00700269,2.28744
TAPT1,0.0309947,0.963304,0.0223571
TARBP1,0.974629,0.267421,0.648541
TARBP2,1.35833,0.580099,0.220722
TARDBP,3.26638,0.0755422,-1.17056
TARS1,0.69343,0.605675,-0.215461
TARS2,1.49886,0.297767,-0.519844
TARS3,1.59096,0.156969,-0.941229
TASOR,1.96913,0.292741,-0.50687
TASOR2,1.73639,0.0914758,1.30157
TATDN1,1.81853,0.149137,-0.937324
TATDN2,1.52001,0.125647,1.12918
TATDN3,1.2097,0.0616548,1.97098
TAX1BP1,0.299123,0.719524,0.159777
TAX1BP3,2.98488,0.00826018,2.47549
TBC1D1,3.40767,0.0457804,1.4108
TBC1D10A,2.67472,0.105933,1.0564
TBC1D10B,0.668175,0.230826,-0.907278
TBC1D12,2.16215,0.0741511,1.33925
TBC1D13,1.58493,0.139554,-1.02504
TBC1D14,1.32644,0.0324601,2.66564
TBC1D15,2.17453,0.167711,-0.824505
TBC1D16,0.563202,0.394878,0.455795
TBC1D17,3.50562,0.275314,0.500399
TBC1D19,1.95574,0.0795687,1.33
TBC1D2,2.06444,0.136217,0.964797
TBC1D20,2.66427,0.214454,0.648127
TBC1D22A,0.963964,0.0616385,2.44203
TBC1D22B,0.327075,0.545052,-0.31791
TBC1D23,1.46673,0.257312,-0.606957
TBC1D24,2.72527,0.0776089,-1.22146
TBC1D25,3.31554,0.0764909,1.17451
TBC1D2B,3.51689,0.132162,0.880359
TBC1D4,3.42615,0.18018,0.718206
TBC1D5,0.171389,0.863017,0.0746796
TBC1D7,1.19856,0.333707,-0.474141
TBC1D8,2.90667,0.0754428,-1.21888
TBC1D8B,0.841331,0.437227,0.360001
TBC1D9,2.45769,0.0637326,-1.38178
TBC1D9B,0.00960058,0.992679,-0.00367463
TBCA,2.75686,0.0513403,1.42638
TBCB,0.46911,0.380436,0.539561
TBCC,1.46425,0.335692,0.456228
TBCD,0.230345,0.686664,-0.207694
TBCE,2.04355,0.134409,-0.97819
TBCEL,2.58064,0.175086,0.771095
TBCK,2.25272,0.495193,0.27096
TBK1,1.38874,0.347932,-0.442077
TBKBP1,0.590488,0.688262,0.164559
TBL1XR1,3.762,0.00333636,-3.40188
TBL2,0.0637899,0.979977,0.0100716
TBL3,0.413158,0.54473,-0.301888
TBP,2.01668,0.0644453,-1.44663
TBPL1,1.07823,0.144487,-1.1568
TBRG4,1.41971,0.111741,-1.25444
TBX15,1.45915,0.147501,-1.01366
TBX2,3.03117,0.0125847,-2.18334
TCAF1,0.236294,0.733869,-0.16097
TCAF2,2.94567,0.242725,0.573431
TCAIM,1.85295,0.202568,-0.729727
TCEA1,1.25867,0.219437,-0.740858
TCEAL1,1.9123,0.0460727,1.73102
TCEAL3,1.30639,0.115691,1.28306
TCEAL4,1.45767,0.185361,0.835581
TCEAL9,3.25277,0.0414773,-1.47079
TCERG1,4.48205,0.0807636,-1.07597
TCF12,1.24242,0.0524805,-2.12556
TCF20,0.434435,0.586205,0.249265
TCF25,0.0662817,0.939967,0.0346899
TCF3,1.46634,0.167282,-0.912804
TCF4,0.888213,0.277905,0.632253
TCF7L1,3.97892,0.0214859,-1.70159
TCF7L2,1.7678,0.105443,1.17465
TCN2,3.71595,0.0522579,-1.30946
TCOF1,0.411668,0.690675,-0.170769
TCP1,0.489108,0.582222,-0.246395
TCP11L1,1.83167,0.0421716,-1.86569
TCP11L2,1.61705,0.235723,0.650009
TDG,1.22592,0.311621,-0.51178
TDP1,0.738034,0.305547,0.596675
TDP2,2.20123,0.0750573,1.33238
TDRD3,0.179045,0.822976,0.101087
TDRD7,3.75441,0.00869063,2.2131
TDRKH,1.6892,0.195134,0.771171
TDRP,3.00004,0.0644627,1.28242
TEAD1,2.93464,0.00492019,-3.27889
TEAD2,2.85122,0.0146766,-2.1527
TEAD3,1.33213,0.0268171,-2.85801
TECPR1,1.95256,0.321079,0.459064
TECPR2,2.37458,0.139658,0.921271
TECR,0.722583,0.321525,-0.578483
TEDC2,3.48551,0.0326933,-1.5464
TEFM,0.475363,0.596656,-0.235689
TELO2,1.9704,0.183603,-0.780872
TENM2,2.42586,0.0941706,1.15236
TENM3,1.29972,0.321578,0.488262
TENM4,0.101813,0.93577,0.0352399
TENT4B,0.480756,0.611802,0.225252
TEP1,0.892841,0.475235,0.317031
TEPSIN,0.303491,0.757205,0.134845
TERF1,0.533985,0.363693,-0.538654
TERF2,2.68831,0.1688,-0.787071
TERF2IP,1.03342,0.585408,-0.223025
TES,4.37559,0.0603433,1.20774
TET2,1.67723,0.0956297,1.29583
TEX10,2.32127,0.062,-1.41749
TEX2,0.215839,0.892331,-0.0563545
TEX264,2.00467,0.16395,-0.852276
TF,0.750523,0.416004,-0.391086
TFAM,0.137291,0.801011,0.130111
TFB1M,0.000760253,0.999195,0.000337319
TFB2M,1.32289,0.349482,-0.442507
TFCP2,2.64237,0.0800761,-1.21403
TFDP1,1.29048,0.356128,-0.434166
TFE3,3.17339,0.0146346,2.0775
TFEB,2.20277,0.140405,-0.933555
TFG,0.254057,0.627208,-0.259743
TFIP11,0.435237,0.569753,-0.268991
TFPI,2.10127,0.0818593,1.29781
TFRC,0.0680411,0.928206,0.0423911
TGFB1,2.18693,0.0984532,1.15954
TGFB1I1,0.00377025,0.995753,0.00203222
TGFB2,4.71536,0.00260784,3.52972
TGFB3,3.29177,0.0103981,-2.21556
TGFBI,4.96397,0.00493411,2.38412
TGFBR1,0.313524,0.655589,-0.20741
TGFBR2,1.86973,0.116542,1.10297
TGFBRAP1,1.13838,0.267438,-0.617001
TGIF1,2.11778,0.0300477,-1.959
TGM2,3.07832,0.0223302,1.82607
TGOLN2,2.28749,0.0223185,-2.11025
TGS1,0.705649,0.490217,0.317058
THADA,0.349419,0.646505,-0.215444
THAP11,3.90766,0.0354442,-1.47661
THAP12,0.686004,0.428533,0.383489
THAP4,1.02396,0.244802,0.700089
THBS1,3.06057,0.0091318,2.35108
THBS2,3.92478,0.0321399,1.50317
THBS3,2.89858,0.00487442,3.28565
THEM4,1.30714,0.206467,-0.778062
THEM6,2.23719,0.0211514,-2.1371
THG1L,0.872604,0.27076,-0.660183
THNSL1,0.125087,0.913706,0.0471541
THNSL2,3.39854,0.0398672,1.47939
THOC1,4.28887,0.0337366,-1.45119
THOC2,2.68245,0.0154385,-2.18755
THOC3,2.86652,0.0568185,-1.35754
THOC5,3.71829,0.0421637,-1.401
THOC6,1.65139,0.0728781,-1.48387
THOC7,2.59519,0.0862969,-1.18398
THOP1,2.49859,0.311773,-0.459892
THRAP3,0.313355,0.639214,0.218492
THUMPD1,2.11316,0.0718212,-1.35004
THUMPD3,1.05012,0.341667,-0.481192
THY1,1.77782,0.266115,0.566605
THYN1,2.2728,0.0228312,-2.08646
TIA1,3.70022,0.0267057,-1.61987
TIAL1,1.05078,0.36354,0.43971
TIAM1,0.825593,0.286622,0.632418
TICAM1,2.2745,0.116853,1.04134
TIGAR,7.63955,0.0290743,1.36931
TIMELESS,2.13873,0.00579077,-3.63309
TIMM10,2.29687,0.0197755,2.24162
TIMM10B,1.15619,0.0701549,1.89873
TIMM13,0.615397,0.441026,-0.380493
TIMM17A,1.3185,0.250739,0.638363
TIMM17B,0.694688,0.618707,-0.204741
TIMM21,0.0475862,0.971936,0.014978
TIMM22,0.810342,0.0910697,2.15206
TIMM23,0.151279,0.846767,-0.0885113
TIMM29,2.8772,0.0421703,1.5289
